,word,pn
316,盗ま,-1
317,盗む,-1
318,当たら,-1
319,当て,-1
322,頭,-1
326,曇る,-1
327,悩む,-1
328,馬鹿,-1
329,廃れる,-1
330,敗ける,-1
331,敗れる,-1
332,背く,-1
333,曝す,-1
334,抜か,-1
335,叛,-1
336,犯す,-1
337,悲しむ,-1
338,疲れ,-1
339,疲れる,-1
340,被る,-1
341,謬,-1
342,貧する,-1
343,不満,-1
345,怖,-1
346,怖じ,-1
347,怖気付く,-1
348,腐る,-1
349,負う,-1
350,負ける,-1
351,侮る,-1
354,腹立たしい,-1
355,腹立つ,-1
356,文句,-1
358,聞こえる,-1
359,閉まる,-1
360,別れる,-1
361,偏る,-1
362,呆れる,-1
363,崩さ,-1
364,崩す,-1
365,崩れる,-1
366,飽きる,-1
367,亡くす,-1
368,亡くする,-1
369,亡びる,-1
370,妨げる,-1
371,忘れる,-1
372,冒す,-1
373,膨れる,-1
374,謀る,-1
375,無くす,-1
376,迷う,-1
377,滅びる,-1
378,面目,-1
380,面目次第,-1
381,蒙る,-1
384,落ち込む,-1
385,落とさ,-1
386,落とし,-1
387,乱れる,-1
389,裂ける,-1
390,路頭,-1
391,漏らす,-1
392,漏れる,-1
393,老いる,-1
394,歪む,-1
395,詫びる,-1
396,咎める,-1
397,咬ま,-1
398,毀す,-1
399,毀れる,-1
400,憑,-1
401,罹る,-1
402,挾ま,-1
403,涸れる,-1
404,疵付ける,-1
405,縺れる,-1
406,茫然,-1
410,茫漠,-1
411,躊躇う,-1
412,躓く,-1
413,轢く,-1
414,騙す,-1
415,,-1
418,あく,-1
419,あくどい,-1
420,あざとい,-1
425,あばずれ,-1
429,あほらしい,-1
430,あやしい,-1
431,あやふや,-1
433,あらい,-1
434,あらっぽい,-1
436,あり,-1
437,ありふれる,-1
439,ある,-1
441,あわせ,-1
442,あんぽんたん,-1
447,いかがわしい,-1
448,いかつい,-1
449,いぎたない,-1
450,いけ好かない,-1
451,いけ図々しい,-1
452,いこじ,-1
454,いじいじ,-1
455,いじける,-1
456,いじましい,-1
457,いぶかしい,-1
458,いまいち,-1
459,いまいましい,-1
460,いまひとつ,-1
461,いまわしい,-1
462,いま一つ,-1
463,いやがる,-1
464,いやしい,-1
465,いやらしい,-1
466,いろあせる,-1
467,いわく,-1
468,いんちき,-1
469,うじうじ,-1
470,うす汚い,-1
471,うとい,-1
476,うらめしい,-1
477,うら寂しい,-1
